intervention_timestamp,amount,currency,payment_method,transaction_hour,transaction_day,amount_relative_to_customer_average,error_code,root_cause_diagnosis,previous_failure_count,total_previous_payments,successful_payments,failed_payments,historical_success_rate,customer_tenure,average_transaction_amount,previous_intervention_count,previous_successful_recoveries,historical_recovery_rate,time_since_last_intervention,subscription_status,previous_subscription_failures,recovered
2025-12-06T18:56:34.614228,1401.54,INR,upi,18,5,0.7263499857380677,card_declined,HARD_DECLINE,2,94,83,11,0.8849654362899434,693,1929.5656742883389,2,0,0.0,580.3840420677889,NONE,0,0
2026-08-16T17:48:17.656081,795.25,INR,upi,17,6,0.10561944444204083,auth_failure,MANDATE_ISSUE,3,68,61,7,0.9091267201624392,471,7529.39010615983,3,1,0.3333333333333333,709.3742733550848,NONE,0,1
2025-12-19T10:29:05.418875,2174.41,INR,card,10,4,2.166680433061371,insufficient_funds,HARD_DECLINE,0,82,53,29,0.6558738753107173,700,1003.567469766507,0,0,0.0,,NONE,0,0
2025-09-22T10:32:30.072834,339.48,INR,upi,10,0,0.3407661785379628,unknown,NON_PAYMENT,4,91,73,18,0.8068936544809138,898,996.2256273686518,4,1,0.25,158.69162583408672,ACTIVE,0,0
2026-04-14T03:52:08.883137,539.7,INR,upi,3,1,0.4513590952592781,network_error,TRANSIENT,0,59,41,18,0.704546654005366,611,1195.72199977487,0,0,0.0,,CANCELLED,0,1
2026-05-15T16:03:15.880980,1097.98,USD,card,16,4,0.36184419232788423,timeout,TRANSIENT,3,64,44,20,0.6957618874657344,655,3034.3999524664696,3,2,0.6666666666666666,598.967515610688,NONE,0,0
2026-07-03T07:55:07.045896,1169.32,INR,netbanking,7,4,2.2457739926817117,card_declined,HARD_DECLINE,0,77,59,18,0.7712423086157087,541,520.6757241870531,0,0,0.0,,NONE,0,0
2026-08-08T00:00:14.076817,1277.7,INR,upi,0,5,0.9246838576920209,none,ABANDONMENT,0,42,24,18,0.5782495465936781,33,1381.769552232798,0,0,0.0,,ACTIVE,3,0
2026-01-08T17:53:46.187265,357.8,INR,card,17,3,0.3034847285322491,auth_failure,MANDATE_ISSUE,2,51,48,3,0.9454314045184845,63,1178.972008675485,2,0,0.0,581.9679939620942,ACTIVE,0,0
2026-08-11T04:47:04.850581,360.34,INR,upi,4,1,0.21092342489947347,none,ABANDONMENT,1,0,0,0,0.8697201193987918,389,1708.3925134049894,1,0,0.0,390.8383497881032,ACTIVE,3,0
2026-06-25T18:36:14.854616,2248.83,USD,upi,18,3,6.0007809053171055,invalid_card,HARD_DECLINE,0,8,7,1,0.9385555875679452,610,374.75622514519426,0,0,0.0,,NONE,0,0
2026-03-18T17:08:36.703522,710.47,INR,card,17,2,0.6403694570028632,invalid_card,HARD_DECLINE,7,96,90,6,0.9417312975392381,952,1109.4689045995888,7,4,0.5714285714285714,381.30835798103215,NONE,0,0
2026-06-19T06:55:05.982545,1243.25,INR,card,6,4,3.665903610480176,none,ABANDONMENT,1,33,24,9,0.7453507722134524,650,339.138758707612,1,0,0.0,318.67973302795156,PAST_DUE,1,0
2025-11-15T00:23:57.817155,549.01,INR,card,0,5,0.7645387033199569,none,ABANDONMENT,1,5,2,3,0.5916672300631848,882,718.0931424608875,1,0,0.0,702.8921376773623,ACTIVE,2,0
2026-07-05T11:51:27.647864,693.09,INR,upi,11,6,0.20957594764335863,auth_failure,MANDATE_ISSUE,0,13,10,3,0.7909136867984875,719,3307.1066016576056,0,0,0.0,,ACTIVE,1,1
2025-10-28T15:57:32.379156,2258.96,INR,card,15,1,3.2346713333369257,card_declined,HARD_DECLINE,1,3,2,1,0.85085826904282,340,698.358431881124,1,0,0.0,436.864165527117,NONE,0,0
2025-12-24T21:33:43.839007,274.24,INR,card,21,2,0.03682818645399146,network_error,TRANSIENT,0,94,80,14,0.8596122647136374,963,7446.470391437852,0,0,0.0,,NONE,0,0
2025-12-02T12:46:19.334933,1230.9,INR,upi,12,1,0.8568591989599297,unknown,NON_PAYMENT,1,78,70,8,0.9022462721112778,179,1436.525395880779,1,0,0.0,571.6957519572154,NONE,0,0
2026-06-07T20:58:54.700966,2294.54,INR,wallet,20,6,0.9173477013255383,network_error,TRANSIENT,1,28,27,1,0.97076425873449,318,2501.2762300319305,1,0,0.0,517.4907132437728,NONE,0,0
2025-09-16T22:38:53.714776,1841.88,INR,upi,22,1,0.8437654977094787,none,ABANDONMENT,1,59,26,33,0.45554899976205576,531,2182.9287936044375,1,0,0.0,646.0926262247154,NONE,0,0
